reference_start,R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,XCORD,YCORD,XX,YY,CD_GUBUN,distance_from_gangnam_station_m
강남역 인근 시연 시작점,3997.0,1168000000.0,330.0,서울특별시,강남구,4.0,관공서,대치4문화센터,1168010600109280022013655,1168010600.0,1168063000.0,서울특별시 강남구 도곡로77길 23(대치동),958.0,368.0,127.05788,37.49967,205118.41437,544469.49772,안전,2676.4072536500003
강남역 인근 시연 시작점,3896.0,1165000000.0,427.0,서울특별시,서초구,3.0,경로당,암산마을경로당,1165010300100550000005917,1165010300.0,1165065100.0,서울특별시 서초구 바우뫼로7길 84(우면동),99.0,38.0,127.02443,37.47352,202160.94319,541565.37581,안전,2729.928937080603
강남역 인근 시연 시작점,3974.0,1168000000.0,533.0,서울특별시,강남구,1.0,학교,구룡중학교,1168010300106500000019186,1168010300.0,1168066000.0,서울특별시 강남구 선릉로 103(개포동),1129.0,434.0,127.05575,37.4861,204930.20242,542963.09356,긴급,2809.387399439811
강남역 인근 시연 시작점,3973.0,1168000000.0,536.0,서울특별시,강남구,1.0,학교,구룡초등학교,1168010300106550000019635,1168010300.0,1168069000.0,서울특별시 강남구 개포로 263(개포동),1810.0,696.0,127.05205,37.48132,204603.95067,542432.5376,긴급,2839.231320562558
강남역 인근 시연 시작점,3998.0,1168000000.0,318.0,서울특별시,강남구,1.0,학교,신구초등학교,1168010700105500011010531,1168010700.0,1168051000.0,서울특별시 강남구 압구정로18길 28(신사동),14793.0,5689.0,127.02394,37.52336,202116.04939,547096.53658,긴급,2845.151355594685
강남역 인근 시연 시작점,3899.0,1165000000.0,408.0,서울특별시,서초구,1.0,학교,상문고등학교,1165010100110020023022173,1165010100.0,1165053000.0,서울특별시 서초구 명달로 45(방배동),2100.0,807.0,127.00483,37.47946,200427.56563,542224.91182,안전,2875.0170847412214
강남역 인근 시연 시작점,3922.0,1165000000.0,340.0,서울특별시,서초구,1.0,학교,우암초등학교,1165010300100580000005970,1165010300.0,1165065100.0,서울특별시 서초구 바우뫼로7길 38(우면동),456.0,175.0,127.02428,37.47208,202148.01571,541405.75052,안전,2890.563094262944
강남역 인근 시연 시작점,3951.0,1168000000.0,7.0,서울특별시,강남구,1.0,학교,언북초등학교,1168010400100270000018752,1168010400.0,1168056500.0,서울특별시 강남구 삼성로135길 42(청담동),15560.0,5984.0,127.04564,37.51999,204034.4138,546723.64108,긴급,2921.98502358375
강남역 인근 시연 시작점,3999.0,1168000000.0,522.0,서울특별시,강남구,4.0,관공서,신사문화센터,1168010700105480001010457,1168010700.0,1168051000.0,서울특별시 강남구 압구정로 128(신사동),1722.0,662.0,127.02279,37.52398,202014.84794,547165.82535,긴급,2926.689168420652
강남역 인근 시연 시작점,3892.0,1165000000.0,13.0,서울특별시,서초구,1.0,학교,방일초등학교,1165010100101670004015466,1165010100.0,1165060000.0,서울특별시 서초구 방배로18길 52(방배동),1962.0,754.0,126.99841,37.4854,199858.96491,542883.35953,안전,2930.1472572682524
강남역 인근 시연 시작점,3928.0,1165000000.0,412.0,서울특별시,서초구,1.0,학교,신반포중학교,1165010700100030001017692,1165010700.0,1165057000.0,서울특별시 서초구 신반포로19길 26(반포동),863.0,331.0,126.99576,37.50597,199625.4623,545166.80906,긴급,2948.942313696926
강남역 인근 시연 시작점,3994.0,1168000000.0,527.0,서울특별시,강남구,1.0,학교,대명중학교,1168010600109520000026398,1168010600.0,1168061000.0,서울특별시 강남구 역삼로87길 26(대치동),1623.0,624.0,127.06039,37.50623,205339.40859,545196.71342,안전,3034.2000119871104
강남역 인근 시연 시작점,3932.0,1165000000.0,448.0,서울특별시,서초구,1.0,학교,세화여자고등학교,1165010700107530000018801,1165010700.0,1165055000.0,서울특별시 서초구 신반포로 56-7 (반포동),1175.0,451.0,126.99329,37.50222,199406.91095,544750.29046,긴급,3065.647761044064
강남역 인근 시연 시작점,3946.0,1165000000.0,474.0,서울특별시,서초구,4.0,관공서,양재1동주민센터,1165010300100680002007616,1165010300.0,1165065100.0,서울특별시 서초구 바우뫼로 41(우면동),321.0,123.0,127.03,37.47,202653.82429,541174.9478,안전,3113.875609374043
강남역 인근 시연 시작점,3905.0,1165000000.0,401.0,서울특별시,서초구,3.0,경로당,방배1동제1경로당,1165010100101440018014342,1165010100.0,1165060000.0,서울특별시 서초구 서초대로 114-8 (방배동),131.0,50.0,126.9947,37.48755,199531.29032,543121.99644,안전,3125.729437110534
강남역 인근 시연 시작점,3912.0,1165000000.0,393.0,서울특별시,서초구,4.0,관공서,방배3동주민센터,1165010100109830014011482,1165010100.0,1165062000.0,서울특별시 서초구 방배로10길 10-20 (방배동),677.0,260.0,126.99946,37.4803,199952.58709,542317.58927,안전,3165.498523954201
